Nombre;Genero;Director;Precio;Año;Actores;Puntaje;Sinopsis;VistosMes;VistosAnio;AlqMes;AlqAnio
Aladdin;Animation;Walt Disney;29;1992;Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman;6; - - -;448;364;6043;7821
Alatriste;Action;Agustin Diaz Yanes;39;2006;Viggo Mortensen, Elena Anaya, Javier Camara, Eduardo Noriega, Blanca Rortillo, Carlos Bardem;4; - - -;788;242;5294;3675
Anna Karenina;Drama;Bernard Rose;33;1997;Sophie Marceau, Sean Bean, Alfred Molina, Mia Kirshner, James Fox, Georg Solti;4; - - -;976;972;8010;3196
Annie;Teenagers;John Huston;40;1982;Albert Finney, Carol Burnett, Ann Reinking, Tim Curry, Bernadette Peters, Aileen Quinn;10; - - -;634;502;9761;1047
Apocalypse Now;War;Francis Ford Coppola;39;1979;Marlon Brando, Robert Duvall, Martin Sheen, Frederic Forrest, Albert Hall, Sam Bottoms;8; - - -;462;266;4360;2142
Avatar ;Sci-Fi;James Cameron;41;2009;Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Joel Moore, Giovanni Ribisi, Michelle Rodriguez;4;A�o 2154. Jake Sully (Sam Worthington), un ex-marine condenado a vivir en una silla de ruedas, sigue siendo, a pesar de ello, un aut�ntico guerrero. Precisamente por ello ha sido designado para ir a Pandora, donde algunas empresas est�n extrayendo un mineral extra�o que podr�a resolver la crisis energ�tica de la Tierra. Para contrarrestar la toxicidad de la atm�sfera de Pandora, se ha creado el programa Avatar, gracias al cual los seres humanos mantienen sus conciencias unidas a un avatar: un cuerpo biol�gico controlado de forma remota que puede sobrevivir en el aire letal. Esos cuerpos han sido creados con ADN humano, mezclado con ADN de los nativos de Pandora, los Na'vi. Convertido en avatar, Jake puede caminar otra vez. Su misi�n consiste en infiltrarse entre los Na'vi, que se han convertido en el mayor obst�culo para la extracci�n del mineral. Pero cuando Neytiri, una bella Na'vi (Zoe Saldana), salva la vida de Jake, todo cambia: Jake, tras superar ciertas pruebas, es admitido en su clan. Mientras tanto, los hombres esperan los resultados de la misi�n de Jake.;954;942;7614;3221
Batman Begins;Fantasy;Christopher Nolan;30;2005;Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Morgan Freeman;5; - - -;976;935;4536;6498
Book of Eli, The;Sci-Fi;Albert Hughes, Allen Hughes;29;2010;Denzel Washington, Gary Oldman, Mila Kunis;7; - - -;790;775;2577;6093
Cars 2;Animation;Pixar, Walt Disney;36;2011;Stimmen von Owen Wilson, John Ratzenberger, Bonnie Hunt, Tony Shalhoub, Cheech Marin, Larry The Cable Guy;3; - - -;483;469;1816;4075
Casablanca;Drama;Michael Curtiz;43;1942;Humphrey Bogart, Ingrid Bergman, Claude Rains, Paul Henreid, Dooley Wilson, Conrad Veidt;6; - - -;936;742;1734;7448
Casanova;Historical;Federico Fellini;36;1976;Donald Sutherland, Tina Aumont, Cicely Browne, Olimpia Carlisi, Adele Angela Lojodice;4; - - -;601;385;8060;1754
Cloverfield;Sci-Fi;Matt Reeves;36;2008;Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel;4; - - -;734;43;8724;8273
Da Vinci Code, The;Action;Ron Howard;31;2006;Tom Hanks, Audrey Tautou, Ian McKellen, Alfred Molina, Jean Reno, Paul Bettany;7; - - -;815;566;7650;3612
Daredevil;Fantasy;Mark Steven Johnson;43;2003;Ben Affleck, Michael Clarke Duncan, Colin Farrell, Jon Favreau, Jennifer Garner, Paul Ben-Victor;6; - - -;851;696;6690;8971
E.T.;Animation;Steven Spielberg;43;1982;Dee Wallace-Stone, Robert MacNaughton, Drew Barrymore, Peter Coyote, Henry Thomas, Milt Kogan;4; - - -;831;764;3442;9625
Eagle Eye;Action;D.J. Caruso;34;2008;Shia LaBeouf, Rosario Dawson, Michelle Monaghan;7; - - -;964;959;6498;6339
Elysium;Sci-Fi;Neill Blomkamp;37;2013;Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga, Diego Luna, Wagner Moura;7; - - -;859;639;2406;2379
Emma;Comedy;Douglas McGrath;36;1996;Gwyneth Paltrow, Toni Collette, Alan Cumming, Jeremy Northam, Ewan McGregor, Greta Scacchi;5; - - -;854;803;5242;4342
Fantastic Four;Fantasy;Tim Story;31;2005;Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater;8; - - -;289;228;8618;3486
Fantastic Four: Rise of the Silver Surfer;Fantasy;Tim Story;37;2007;Michael Chiklis, Jessica Alba, Ioan Gruffudd, Chris Evans, Kerry Washington, Andre Braugher;5; - - -;636;455;3759;6479
Fargo;Comedy;Joel & Ethan Coen;30;1996;Frances McDormand, Steve Buscemi, William H. Macy, Peter Stormare, Harve Presnell;8; - - -;508;490;6210;9668
Fast and the Furious;Action;Rob Cohen;33;2001;Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster, Rick Yune, Chad Lindberg;5; - - -;574;50;7689;5679
Ghost Rider;Fantasy;Mark Steven Johnson;43;2007;Nicolas Cage, Wes Bentley, Eva Mendes, Sam Elliott, Peter Fonda, Donal Logue;10; - - -;859;311;7895;9867
Ghost Ship;Horror;Steve Beck;45;2002;Gabriel Byrne, Julianna Margulies, Ron Eldard, Desmond Harrington, Isaiah Washington, Alex Dimitriades;3; - - -;992;704;6623;2547
Golden Compass, The;Fantasy;Chris Weitz;43;2007;Nicole Kidman, Dakota Blue Richards, Sam Elliott, Eva Green, Daniel Craig, Tom Courtenay;4; - - -;555;349;6716;4633
Hangover;Comedy;Todd Phillips;34;2009;Zach Galifianakis, Justin Bartha, Bradley Cooper, Ed Helms, Ken Jeong, Heather Graham;6; - - -;835;637;8349;1443
Hangover 3;Comedy;Todd Phillips;31;2013;Zach Galifianakis, Justin Bartha, Bradley Cooper, Ed Helms, Ken Jeong, Heather Graham;10; - - -;868;841;1082;9955
Happening, The;Sci-Fi;M. Night Shyamalan;39;2008;Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley, Spencer Breslin, Robert Bailey Jr.;7; - - -;864;640;1907;3718
Happy Feet;Animation;George Miller;29;2006;Nicole Kidman, Elijah Wood, Hugh Jackman, Robin Williams, Brittany Murphy, Hugo Weaving;3; - - -;905;534;8341;8271
Harry Potter I ;Fantasy;Chris Columbus;30;2001;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, John Cleese, Warwick Davis;10; - - -;988;977;8201;6940
Harry Potter II ;Fantasy;Chris Columbus;30;2002;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, John Cleese, Richard Harris, Kenneth Branagh;10; - - -;882;838;7365;8590
Harry Potter III ;Fantasy;Alfonso Cuar�n;44;2004;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon, Gary Oldman, David Thewlis;7; - - -;893;852;3560;5404
Harry Potter IV ;Fantasy;Mike Newell;39;2005;Daniel Radcliffe, Rupert Grint, Emma Watson, Eric Sykes, Timothy Spall, David Tennant, Mark Williams;9; - - -;433;225;9273;1399
Harry Potter V ;Fantasy;David Yates;36;2007;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Ralph Fiennes, Michael Gambon;7; - - -;904;556;8300;1654
Harry Potter VI;Fantasy;David Yates;29;2009;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Ralph Fiennes, Michael Gambon;3; - - -;785;205;1634;7790
